iter	Logloss
130	0.4496751527
131	0.4495083326
132	0.4493343191
133	0.4490825089
134	0.4489893641
135	0.4488718477
136	0.4487722846
137	0.4486659649
138	0.4485367067
139	0.4483728197
140	0.4481971119
141	0.4479974421
142	0.447948537
143	0.4477848899
144	0.447753058
145	0.4475953662
146	0.447401757
147	0.4473696219
148	0.4471594608
149	0.4470660979
150	0.4469321341
151	0.4468308177
152	0.4467718965
153	0.4464937411
154	0.4464423397
155	0.4463720221
156	0.4462802217
157	0.446126578
158	0.4459279125
159	0.445759157
160	0.4456428214
161	0.4455347925
162	0.4453842444
163	0.4453530637
164	0.445308549
165	0.4452742136
166	0.4452688778
167	0.4451728211
168	0.4450642527
169	0.4450136189
170	0.4449197084
171	0.4448444853
172	0.4447352881
173	0.4446418156
174	0.4445614288
175	0.4444394223
176	0.444363291
177	0.4442360808
178	0.4441633348
179	0.4441110462
180	0.4440222076
181	0.4439318219
182	0.4438809467
183	0.4438018024
184	0.4437377069
185	0.4436312947
186	0.4435885217
187	0.4435213873
188	0.4434420564
189	0.443366512
190	0.443285664
191	0.4431892949
192	0.4430738566
193	0.443051454
194	0.4429500034
195	0.4429129998
196	0.4428086771
197	0.4427264365
198	0.4426981914
199	0.4426669931
200	0.4426148703
201	0.4425274579
202	0.442439848
203	0.442329536
204	0.4422562369
205	0.4422309417
206	0.4421805309
207	0.4421220281
208	0.4420176323
209	0.4419053984
210	0.4418495078
211	0.4417715847
212	0.4417244284
213	0.4416406672
214	0.4415663435
215	0.4415088747
216	0.4414032183
217	0.4413610017
218	0.4412506214
219	0.441199626
220	0.4411025537
221	0.4410517652
222	0.440975698
223	0.4409295961
224	0.440902818
225	0.4408737324
226	0.4408061744
227	0.4408009049
228	0.4407515143
229	0.4406643405
230	0.4405854126
231	0.4404940018
232	0.4404497647
233	0.4403233588
234	0.4402505242
235	0.4401813165
236	0.4400934049
237	0.4400777929
238	0.4400269164
239	0.4399511512
240	0.4399051935
241	0.4398590193
242	0.4398288409
243	0.43972108
244	0.4396145435
245	0.4395919644
246	0.439519608
247	0.4394409203
248	0.4393808342
249	0.4393184217
250	0.4392455347
251	0.4391967247
252	0.4391217336
253	0.4390810388
254	0.439026318
255	0.4390007476
256	0.4389495017
257	0.4388781202
258	0.4388114292
259	0.4387843656
260	0.4387176454
261	0.4386661291
262	0.4386152803
263	0.438590094
264	0.4385151877
265	0.4384757072
266	0.4384394094
267	0.4383996912
268	0.4383756813
269	0.4383096473
270	0.4382143946
271	0.4381829445
272	0.4381491433
273	0.4380345467
274	0.4380163007
275	0.4379515124
276	0.4379256267
277	0.4378553951
278	0.4378066158
279	0.4377888239
280	0.4377259562
281	0.4376974979
282	0.437645591
283	0.4375612247
284	0.437523581
285	0.4374337078
286	0.4373854996
287	0.4373162826
288	0.4372849476
289	0.4372120956
290	0.4371862713
291	0.4371222234
292	0.4370962025
293	0.4370640025
294	0.4370033092
295	0.4369783936
296	0.4369142111
297	0.4368682977
298	0.436852285
299	0.4367969366
300	0.4367836253
301	0.4366790769
302	0.4366351633
303	0.4365542723
304	0.4364667008
305	0.436446206
306	0.4363960017
307	0.4363395994
308	0.4362943136
309	0.4362620393
310	0.4361975487
311	0.4361693512
312	0.436108793
313	0.4360748364
314	0.4360560668
315	0.4359847439
316	0.4359596664
317	0.4359095691
318	0.4358508493
319	0.4358056423
320	0.4357583347
321	0.4357026438
322	0.43567351
323	0.4356251173
324	0.4356201738
325	0.4355470576
326	0.4355113363
327	0.4355074331
328	0.435464756
329	0.4354534417
330	0.4354153451
331	0.4353903565
332	0.4353531855
333	0.4353246778
334	0.4353176833
335	0.4352932572
336	0.4352496038
337	0.4351879376
338	0.4351812371
339	0.4351191114
340	0.4350969736
341	0.4350574999
342	0.4349763745
343	0.434938998
344	0.4348680645
345	0.4347877619
346	0.4347528045
347	0.4347204427
348	0.4346455753
349	0.4345721014
350	0.4345511512
351	0.4345147543
352	0.4344557745
353	0.4343828497
354	0.4343329495
355	0.4343003482
356	0.4342853221
357	0.4342444132
358	0.4341791629
359	0.4341286406
360	0.4340785167
361	0.4340617344
362	0.4340305333
363	0.433958451
364	0.4339462224
365	0.4338912313
366	0.4338473886
367	0.4337909326
368	0.4337541122
369	0.4337205138
370	0.4336698696
371	0.4336043654
372	0.4335901205
373	0.4335255848
374	0.4335167129
375	0.4334626169
376	0.4334337332
377	0.4334062137
378	0.4333517295
379	0.4333346856
380	0.4333149414
381	0.4332802733
382	0.433233008
383	0.4331673975
384	0.4331355202
385	0.4330785524
386	0.4330416878
387	0.4330128918
388	0.4329571112
389	0.4329383419
390	0.4329080253
391	0.4328571522
392	0.4328119038
393	0.4327490355
394	0.4327102568
395	0.4326305313
396	0.4326180088
397	0.4325958299
398	0.4325569909
399	0.4325060617
400	0.4324229223
401	0.4323812422
402	0.4323434909
403	0.4323300892
404	0.4323107686
405	0.4322672803
406	0.4321963694
407	0.4321358055
408	0.4320898156
409	0.4320602144
410	0.4319629867
411	0.431922977
412	0.4318438069
413	0.4318222705
414	0.4317590737
415	0.4317347072
416	0.4317131508
417	0.4316773675
418	0.4316469208
419	0.4315917545
420	0.4315353376
421	0.4315007401
422	0.4314910795
423	0.431455038
424	0.4314392618
425	0.4313928136
426	0.4313827966
427	0.4313529408
428	0.4312893071
429	0.4312678621
430	0.4312434686
431	0.4312209317
432	0.4311847883
433	0.4311344117
434	0.431055181
435	0.4310211609
436	0.4309730218
437	0.430921572
438	0.43091224
439	0.4308890396
440	0.4308432952
441	0.4307872516
442	0.430749558
443	0.4307111092
444	0.4307000976
445	0.4306381634
446	0.4305922349
447	0.4305414556
448	0.4305022318
449	0.4304443064
450	0.4303795734
451	0.4303145043
452	0.4302664266
453	0.4302121702
454	0.4301829647
455	0.4301546294
456	0.4301167064
457	0.4300958229
458	0.4300586801
459	0.4300026644
460	0.4299615484
461	0.4298981215
462	0.4298828363
463	0.4298507295
464	0.429837082
465	0.4298022569
466	0.4297684653
467	0.4297419259
468	0.4296779988
469	0.4296763401
470	0.4296113193
471	0.4295754076
472	0.4295431639
473	0.4294937889
474	0.4294554042
475	0.4294271336
476	0.4293878385
477	0.429376292
478	0.4293146518
479	0.4292149867
480	0.4291427482
481	0.4290925894
482	0.4290215868
483	0.428969814
484	0.4288950257
485	0.4288462145
486	0.4288292035
487	0.4288029539
488	0.428722746
489	0.4286487799
490	0.4286069195
491	0.4285396222
492	0.428512883
493	0.4284690663
494	0.4284376141
495	0.4283844883
496	0.4283499105
497	0.4283052536
498	0.4282568551
499	0.4281995169
500	0.4281759042
501	0.4281239847
502	0.4280849159
503	0.4280416231
504	0.4280399644
505	0.4280121219
506	0.4279386044
507	0.427843112
508	0.427811823
509	0.4277932497
510	0.4277805989
511	0.4277362951
512	0.4276970001
513	0.4276321538
514	0.4276041481
515	0.4275106369
516	0.4274408729
517	0.4273919798
518	0.4273638798
519	0.4273132048
520	0.4272619717
521	0.4272155903
522	0.4271494368
523	0.42709375
524	0.4270554224
525	0.4269852702
526	0.4269097832
527	0.4268753285
528	0.4268455982
529	0.426813268
530	0.4267753416
531	0.4267444718
532	0.4267058636
533	0.4266533944
534	0.4266187174
535	0.4265715892
536	0.4265058135
537	0.4264306449
538	0.4263619828
539	0.4263367771
540	0.4262174717
541	0.4261645194
542	0.426127856
543	0.4260528156
544	0.4259800487
545	0.4259107634
546	0.4258761874
547	0.4257993301
548	0.4257543816
549	0.425724944
550	0.4256697824
551	0.4256215488
552	0.4256046355
553	0.4255747104
554	0.4255148927
555	0.4254650279
556	0.4254486347
557	0.4254382257
558	0.4254068666
559	0.425306361
560	0.4252483378
561	0.4252008032
562	0.4251125249
563	0.4250816599
564	0.4250152771
565	0.4249498009
566	0.4249080375
567	0.4248539785
568	0.4248202851
569	0.4247726056
570	0.4247346144
571	0.4246838462
572	0.4246419822
573	0.4246244843
574	0.4245793038
575	0.4245102466
576	0.4244778513
577	0.4244333529
578	0.4243891783
579	0.424352651
580	0.4242944974
581	0.4242254432
582	0.4241818884
583	0.42408665
584	0.4240497646
585	0.4239280835
586	0.4238765608
587	0.4238692099
588	0.4237958979
589	0.4237234324
590	0.4236627996
591	0.4236359987
592	0.423572996
593	0.4235023796
594	0.4234732367
595	0.423439214
596	0.4233824908
597	0.4233426782
598	0.4232962639
599	0.4232863769
600	0.4232824737
601	0.4232574584
602	0.4232255829
603	0.4232017734
604	0.42317263
605	0.4231494716
606	0.4230905019
607	0.4230274308
608	0.4229695659
609	0.4229315405
610	0.4229270517
611	0.4228437528
612	0.4227875144
613	0.4227459689
614	0.4226778939
615	0.4226592274
616	0.4226201657
617	0.4225863071
618	0.4225669285
619	0.422498983
620	0.4224213079
621	0.4223549578
622	0.4223134164
623	0.4222791665
624	0.4222587077
625	0.4221735534
626	0.4221452525
627	0.4220960709
628	0.4220320238
629	0.4219323951
630	0.4219007139
631	0.4218797014
632	0.4218623326
633	0.4218292206
634	0.4217791943
635	0.4217157669
636	0.4216380287
637	0.4215532982
638	0.4215077288
639	0.4214893196
640	0.4214664215
641	0.4214270974
642	0.4213944737
643	0.4213227841
644	0.4212940304
645	0.4212332722
646	0.4211910174
647	0.4211556643
648	0.421150656
649	0.421086647
650	0.4210179169
651	0.4209879271
652	0.4209572224
653	0.420901633
654	0.4208494633
655	0.4207524044
656	0.4206691704
657	0.4206311468
658	0.4206135506
659	0.4206024626
660	0.4205576107
661	0.420505409
662	0.4204444521
663	0.4204056503
664	0.420376312
665	0.4203112575
666	0.4202384718
667	0.4202020423
668	0.4201183843
669	0.4200750242
670	0.4200377166
671	0.4200181369
672	0.4199915949
673	0.419967395
674	0.419960045
675	0.4199515873
676	0.4199333741
677	0.4198771006
678	0.4198504286
679	0.4197956844
680	0.4197428913
681	0.4197065945
682	0.41964268
683	0.4196354601
684	0.4195785627
685	0.4195368339
686	0.4194800703
687	0.4194729798
688	0.4194327796
689	0.4193461955
690	0.4193213457
691	0.4193015052
692	0.4192951299
693	0.4192770461
694	0.4192396723
695	0.4191934524
696	0.4191631382
697	0.4191254054
698	0.4190355998
699	0.419012734
700	0.4189982273
701	0.4188970377
702	0.4188754578
703	0.4188490798
704	0.4188047791
705	0.4187494165
706	0.4187231021
707	0.4186989349
708	0.4186656602
709	0.4186140109
710	0.4185816145
711	0.4185370608
712	0.4184454014
713	0.4184123888
714	0.4183292395
715	0.4182484108
716	0.4181992293
717	0.4181035383
718	0.4180747521
719	0.4180501952
720	0.4180060238
721	0.4179688162
722	0.4179303684
723	0.4178743582
724	0.4177881628
725	0.4177684515
726	0.4177168299
727	0.4176857032
728	0.4176616993
729	0.4176342801
730	0.4175494194
731	0.4174926675
732	0.4174684376
733	0.4174469383
734	0.4174289865
735	0.4174112264
736	0.4173619812
737	0.417291787
738	0.417263103
739	0.4171843891
740	0.4171108391
741	0.4170532521
742	0.4170295723
743	0.4170015063
744	0.4169478073
745	0.4168906918
746	0.4167993263
747	0.4167854707
748	0.4167555136
749	0.4167205461
750	0.4166780985
751	0.416622578
752	0.4165659176
753	0.4165396039
754	0.4165026894
755	0.4164816142
756	0.4164479192
757	0.4163828659
758	0.4163373949
759	0.4163031755
760	0.416283205
761	0.4162498989
762	0.4162356853
763	0.4162175359
764	0.4162067042
765	0.4161785698
766	0.4161696247
767	0.4161609074
768	0.4160915938
769	0.4160746164
770	0.4160261199
771	0.4160178906
772	0.4160051407
773	0.4159834128
774	0.415895852
775	0.4158476145
776	0.4158308963
777	0.4158259524
778	0.4157998338
779	0.4157767061
780	0.4157200767
781	0.4156619193
782	0.4156321216
783	0.4156039537
784	0.4155989773
785	0.4155268982
786	0.4155174658
787	0.4154570639
788	0.4154364752
789	0.4154177729
790	0.4153742265
791	0.4153557197
792	0.4153324306
793	0.4153127215
794	0.4152308203
795	0.4152254538
796	0.4151425443
797	0.4150898056
798	0.4150716566
799	0.4150619633
800	0.4150215014
801	0.4149776231
802	0.414955799
803	0.4149328983
804	0.4148990036
805	0.4148954585
806	0.4148881401
807	0.4148384049
808	0.4148326806
809	0.4147777489
810	0.4147510764
811	0.4146809507
812	0.4146613702
813	0.4146424401
814	0.4146301139
815	0.4145645089
816	0.4145598903
817	0.4145056001
818	0.4144571367
819	0.4144266615
820	0.4143805467
821	0.4143266145
822	0.4143017963
823	0.4142931114
824	0.414285793
825	0.4142457207
826	0.4141926079
827	0.4141753369
828	0.4141345181
829	0.4141267126
830	0.4141100268
831	0.4140376245
832	0.4140338517
833	0.4139357667
834	0.413877642
835	0.4138392933
836	0.4138018223
837	0.4137741133
838	0.4137228226
839	0.413689095
840	0.4136297732
841	0.4135604272
842	0.4135121932
843	0.4134517266
844	0.413428602
845	0.4133468646
846	0.4132995071
847	0.4132926115
848	0.4132778775
849	0.4132531574
850	0.4132075236
851	0.4131827389
852	0.4131686547
853	0.4131656945
854	0.4131112777
855	0.4130789147
856	0.4130612855
857	0.4130130809
858	0.4129869952
859	0.412935308
860	0.4129098099
861	0.4128841807
862	0.4128576087
863	0.4128260264
864	0.4128231967
865	0.4128082022
866	0.4127607145
867	0.4126695561
868	0.4126389156
869	0.4126002761
870	0.4125481055
871	0.4125436821
872	0.412513666
873	0.4124637378
874	0.4124050346
875	0.4123628888
876	0.4123463648
877	0.4123286059
878	0.4122684024
879	0.4122513918
880	0.4122085545
881	0.4122016587
882	0.4121640596
883	0.4121449344
884	0.4120960892
885	0.412042115
886	0.4119925448
887	0.4119784288
888	0.411930616
889	0.4119070649
890	0.4118630916
891	0.411824372
892	0.411817509
893	0.4117691859
894	0.411704751
895	0.4116990914
896	0.4116964248
897	0.4116559075
898	0.4116402629
899	0.4116141442
900	0.4115764203
901	0.4115420719
902	0.4114793645
903	0.4114223854
904	0.4113759073
905	0.4113518694
906	0.4113374595
907	0.4113308899
908	0.4113244501
909	0.4112480143
910	0.4112232941
911	0.4112059906
912	0.41119942
913	0.4111928826
914	0.4111583711
915	0.4110967379
916	0.4110361886
917	0.4110324484
918	0.4110022947
919	0.4109994976
920	0.4109425152
921	0.4109285944
922	0.4109065415
923	0.4108673814
924	0.4108510536
925	0.4108385621
926	0.4107834445
927	0.4107592987
928	0.4107241555
929	0.4107035996
930	0.4106968668
931	0.4106939396
932	0.4106744225
933	0.4106433941
934	0.4106374095
935	0.4105862343
936	0.4105261577
937	0.4105019588
938	0.4104629638
939	0.4103972837
940	0.4103343336
941	0.4103295856
942	0.4102907486
943	0.4102483676
944	0.4102195789
945	0.4101945991
946	0.410159181
947	0.4101358279
948	0.4101070426
949	0.4100921461
950	0.4100620015
951	0.4100004952
952	0.4099634808
953	0.4099517067
954	0.4099196993
955	0.4098685686
956	0.4098509721
957	0.4098077156
958	0.409757991
959	0.4097396481
960	0.4097117423
961	0.4096767285
962	0.4096659295
963	0.4096044574
964	0.4095719324
965	0.4095308149
966	0.409514292
967	0.4094919158
968	0.40946879
969	0.4094325553
970	0.4094011028
971	0.4093346269
972	0.4093189837
973	0.4092762097
974	0.4092569864
975	0.4092341206
976	0.4092167192
977	0.409175965
978	0.4091611985
979	0.4091404471
980	0.4090940325
981	0.4090793309
982	0.4090638164
983	0.4090004902
984	0.4089484875
985	0.4088943319
986	0.4088738424
987	0.4088327238
988	0.4087816321
989	0.4087423737
990	0.4087021103
991	0.4086707537
992	0.4086655821
993	0.4086606058
994	0.4086270384
995	0.4085973737
996	0.4085845914
997	0.4085782809
998	0.4085662143
999	0.4085420486
